"log_path","kind","source_name","model_name","terminated","wallclock_s","rms_velocity","max_velocity","temp_min","temp_avg","temp_max","heat_flux_1","heat_flux_2","heat_flux_3","heat_flux_4","comp_min","comp_max","comp_mass"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3-haiku\aspect.log","regenerated","convection-box-particles__convection-box-particles","anthropic__claude-3-haiku","False","91.7","0.000818","0.00127","300","1800","3300","0","0","-98950","98950",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3.5-haiku\aspect.log","regenerated","convection-box-particles__convection-box-particles","anthropic__claude-3.5-haiku","True","49.1","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\deepseek__deepseek-v3.2\aspect.log","regenerated","convection-box-particles__convection-box-particles","deepseek__deepseek-v3.2","True","49.2","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\meta-llama__llama-3.1-8b-instruct\aspect.log","regenerated","convection-box-particles__convection-box-particles","meta-llama__llama-3.1-8b-instruct","True","49.6","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o\aspect.log","regenerated","convection-box-particles__convection-box-particles","openai__gpt-4o","True","48.6","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o-mini\aspect.log","regenerated","convection-box-particles__convection-box-particles","openai__gpt-4o-mini","True","48.4","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\qwen__qwen3-32b\aspect.log","regenerated","convection-box-particles__convection-box-particles","qwen__qwen3-32b","True","48.5","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\anthropic__claude-3-haiku\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","anthropic__claude-3-haiku","False",,"0.00698","0.041","273","1614","1673",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\anthropic__claude-3.5-haiku\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","anthropic__claude-3.5-haiku","True","144","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\deepseek__deepseek-v3.2\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","deepseek__deepseek-v3.2","True","144","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\meta-llama__llama-3.1-8b-instruct\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","meta-llama__llama-3.1-8b-instruct","False","53.5","0.0447","0.12","-2192","1108","6707",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\openai__gpt-4o\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","openai__gpt-4o","True","225","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\openai__gpt-4o-mini\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","openai__gpt-4o-mini","True","222","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\qwen__qwen3-32b\aspect.log","regenerated","muparser_temperature_example__muparser-temperature-example","qwen__qwen3-32b","True","249","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\anthropic__claude-3-haiku\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","anthropic__claude-3-haiku","True","112","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\anthropic__claude-3.5-haiku\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","anthropic__claude-3.5-haiku","True","109","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\deepseek__deepseek-v3.2\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","deepseek__deepseek-v3.2","True","109","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\meta-llama__llama-3.1-8b-instruct\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","meta-llama__llama-3.1-8b-instruct","True","117","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\openai__gpt-4o\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","openai__gpt-4o","True","106","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\openai__gpt-4o-mini\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","openai__gpt-4o-mini","True","102","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\sinker-with-averaging__sinker-with-averaging\qwen__qwen3-32b\aspect.log","regenerated","sinker-with-averaging__sinker-with-averaging","qwen__qwen3-32b","True","113","469000","893000",,,,,,,,"0","1","0.151"
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\convection-box-particles__convection-box-particles\aspect.log","source","convection-box-particles__convection-box-particles","source","True","49.5","0.000815","0.00127","300","1812","3300","0","0","-97420","98540",,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\muparser_temperature_example__muparser-temperature-example\aspect.log","source","muparser_temperature_example__muparser-temperature-example","source","True","144","0.00266","0.0143","273","1621","1679",,,,,,,
"C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\sinker-with-averaging__sinker-with-averaging\aspect.log","source","sinker-with-averaging__sinker-with-averaging","source","True","120","469000","893000",,,,,,,,"0","1","0.151"
