"source_name","model_name","source_wallclock_s","regenerated_wallclock_s","delta_wallclock_s","residue_rms_velocity","residue_max_velocity","residue_temp_min","residue_temp_avg","residue_temp_max","residue_heat_flux_1","residue_heat_flux_2","residue_heat_flux_3","residue_heat_flux_4","residue_comp_min","residue_comp_max","residue_comp_mass"
"convection-box-particles__convection-box-particles","anthropic__claude-3.5-haiku","49.5","49.1","-0.4","0","0","0","0","0","0","0","0","0","","",""
"convection-box-particles__convection-box-particles","deepseek__deepseek-v3.2","49.5","49.2","-0.3","0","0","0","0","0","0","0","0","0","","",""
"convection-box-particles__convection-box-particles","meta-llama__llama-3.1-8b-instruct","49.5","49.6","0.1","0","0","0","0","0","0","0","0","0","","",""
"convection-box-particles__convection-box-particles","openai__gpt-4o","49.5","48.6","-0.9","0","0","0","0","0","0","0","0","0","","",""
"convection-box-particles__convection-box-particles","openai__gpt-4o-mini","49.5","48.4","-1.1","0","0","0","0","0","0","0","0","0","","",""
"convection-box-particles__convection-box-particles","qwen__qwen3-32b","49.5","48.5","-1","0","0","0","0","0","0","0","0","0","","",""
"muparser_temperature_example__muparser-temperature-example","anthropic__claude-3.5-haiku","144","144","0","0","0","0","0","0","","","","","","",""
"muparser_temperature_example__muparser-temperature-example","deepseek__deepseek-v3.2","144","144","0","0","0","0","0","0","","","","","","",""
"muparser_temperature_example__muparser-temperature-example","openai__gpt-4o","144","225","81","0","0","0","0","0","","","","","","",""
"muparser_temperature_example__muparser-temperature-example","openai__gpt-4o-mini","144","222","78","0","0","0","0","0","","","","","","",""
"muparser_temperature_example__muparser-temperature-example","qwen__qwen3-32b","144","249","105","0","0","0","0","0","","","","","","",""
"sinker-with-averaging__sinker-with-averaging","anthropic__claude-3-haiku","120","112","-8","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","anthropic__claude-3.5-haiku","120","109","-11","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","deepseek__deepseek-v3.2","120","109","-11","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","meta-llama__llama-3.1-8b-instruct","120","117","-3","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","openai__gpt-4o","120","106","-14","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","openai__gpt-4o-mini","120","102","-18","0","0","","","","","","","","0","0","0"
"sinker-with-averaging__sinker-with-averaging","qwen__qwen3-32b","120","113","-7","0","0","","","","","","","","0","0","0"
