"status","exit_code","kind","source_name","model_name","case_directory","original_prm","aspect_log","output_directory","started_at","finished_at"
"success","0","source","convection-box-particles__convection-box-particles","source","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\convection-box-particles__convection-box-particles","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\source_prm_dataset\files\convection-box-particles__convection-box-particles.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\convection-box-particles__convection-box-particles\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\convection-box-particles__convection-box-particles\output","2026-04-23T11:23:27","2026-04-23T11:24:57"
"success","0","regenerated","convection-box-particles__convection-box-particles","anthropic__claude-3.5-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3.5-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__anthropic__claude-3.5-haiku.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3.5-haiku\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3.5-haiku\output","2026-04-23T11:24:57","2026-04-23T11:26:25"
"failed","1","regenerated","convection-box-particles__convection-box-particles","anthropic__claude-3-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__anthropic__claude-3-haiku.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3-haiku\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\anthropic__claude-3-haiku\output","2026-04-23T11:26:25","2026-04-23T11:26:27"
"success","0","regenerated","convection-box-particles__convection-box-particles","deepseek__deepseek-v3.2","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\deepseek__deepseek-v3.2","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__deepseek__deepseek-v3.2.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\deepseek__deepseek-v3.2\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\deepseek__deepseek-v3.2\output","2026-04-23T11:26:27","2026-04-23T11:27:55"
"success","0","regenerated","convection-box-particles__convection-box-particles","meta-llama__llama-3.1-8b-instruct","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\meta-llama__llama-3.1-8b-instruct","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__meta-llama__llama-3.1-8b-instruct.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\meta-llama__llama-3.1-8b-instruct\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\meta-llama__llama-3.1-8b-instruct\output","2026-04-23T11:27:55","2026-04-23T11:29:23"
"success","0","regenerated","convection-box-particles__convection-box-particles","openai__gpt-4o","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__openai__gpt-4o.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o\output","2026-04-23T11:29:23","2026-04-23T11:30:50"
"success","0","regenerated","convection-box-particles__convection-box-particles","openai__gpt-4o-mini","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o-mini","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__openai__gpt-4o-mini.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o-mini\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\openai__gpt-4o-mini\output","2026-04-23T11:30:50","2026-04-23T11:32:17"
"success","0","regenerated","convection-box-particles__convection-box-particles","qwen__qwen3-32b","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\qwen__qwen3-32b","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\convection-box-particles__convection-box-particles__qwen__qwen3-32b.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\qwen__qwen3-32b\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\convection-box-particles__convection-box-particles\qwen__qwen3-32b\output","2026-04-23T11:32:17","2026-04-23T11:33:44"
"success","0","source","muparser_temperature_example__muparser-temperature-example","source","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\muparser_temperature_example__muparser-temperature-example","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\source_prm_dataset\files\muparser_temperature_example__muparser-temperature-example.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\muparser_temperature_example__muparser-temperature-example\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\source\muparser_temperature_example__muparser-temperature-example\output","2026-04-23T11:33:44","2026-04-23T11:36:11"
"success","0","regenerated","muparser_temperature_example__muparser-temperature-example","anthropic__claude-3.5-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\anthropic__claude-3.5-haiku","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\roundtrip_97prms_7models\regenerated_prms\muparser_temperature_example__muparser-temperature-example__anthropic__claude-3.5-haiku.prm","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\anthropic__claude-3.5-haiku\aspect.log","C:\Users\chaha\OneDrive\Desktop\4-2\LLM\Semester Project\Latest\runs\aspect_comparison_selected\20260423_112326\regenerated\muparser_temperature_example__muparser-temperature-example\anthropic__claude-3.5-haiku\output","2026-04-23T11:36:11","2026-04-23T11:38:37"
