"prompt_id","category","source_hint","file_path","original_source"
"SRC001","Thermal Convection","cookbook: 2d_annulus_visualization","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\2d_annulus_visualization__2d_annulus_example.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\2d_annulus_visualization\2d_annulus_example.prm"
"SRC002","Planetary And Tectonic Geodynamics","cookbook: allken_et_al_2012_rift_interaction","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\allken_et_al_2012_rift_interaction__allken.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\allken_et_al_2012_rift_interaction\allken.prm"
"SRC003","Cookbook Inspired","cookbook: anisotropic_viscosity","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\anisotropic_viscosity__AV_Rayleigh_Taylor.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\anisotropic_viscosity\AV_Rayleigh_Taylor.prm"
"SRC004","Thermal Convection","cookbook: bunge_et_al_mantle_convection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\bunge_et_al_mantle_convection__bunge_et_al.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\bunge_et_al_mantle_convection\bunge_et_al.prm"
"SRC005","Cookbook Inspired","cookbook: burnman","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\burnman__burnman.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\burnman\burnman.prm"
"SRC006","Cookbook Inspired","cookbook: christensen_yuen_phase_function","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\christensen_yuen_phase_function__christensen_yuen_phase_function.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\christensen_yuen_phase_function\christensen_yuen_phase_function.prm"
"SRC007","Composition Transport","cookbook: composition-reaction","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition-reaction__composition-reaction.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition-reaction\composition-reaction.prm"
"SRC008","Composition Transport","cookbook: composition_active","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition_active__composition_active.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition_active\composition_active.prm"
"SRC009","Composition Transport","cookbook: composition_active_particles","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition_active_particles__composition_active_particles.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition_active_particles\composition_active_particles.prm"
"SRC010","Composition Transport","cookbook: composition_passive","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\files\composition_passive__composition_passive.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\cookbooks\composition_passive\composition_passive.prm"
