"prompt_id","source_type","category","source_hint","file_path","relative_path","original_source"
"SRC0001","benchmarks","Benchmark","benchmarks: advection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__advection__drop_ev.prm","benchmarks\advection\drop_ev.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\advection\drop_ev.prm"
"SRC0002","benchmarks","Benchmark","benchmarks: advection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__advection__drop_supg.prm","benchmarks\advection\drop_supg.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\advection\drop_supg.prm"
"SRC0003","benchmarks","Benchmark","benchmarks: advection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__advection__rotate_shape_ev.prm","benchmarks\advection\rotate_shape_ev.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\advection\rotate_shape_ev.prm"
"SRC0004","benchmarks","Benchmark","benchmarks: advection","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__advection__rotate_shape_supg.prm","benchmarks\advection\rotate_shape_supg.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\advection\rotate_shape_supg.prm"
"SRC0005","benchmarks","Benchmark","benchmarks: advection_in_annulus","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__advection_in_annulus__advection_in_annulus.prm","benchmarks\advection_in_annulus\advection_in_annulus.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\advection_in_annulus\advection_in_annulus.prm"
"SRC0006","benchmarks","Benchmark","benchmarks: annulus","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__annulus__instantaneous__annulus.prm","benchmarks\annulus\instantaneous\annulus.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\annulus\instantaneous\annulus.prm"
"SRC0007","benchmarks","Benchmark","benchmarks: annulus","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__annulus__transient__transient_annulus.prm","benchmarks\annulus\transient\transient_annulus.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\annulus\transient\transient_annulus.prm"
"SRC0008","benchmarks","Benchmark","benchmarks: blankenbach","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__blankenbach__base_case1a.prm","benchmarks\blankenbach\base_case1a.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\blankenbach\base_case1a.prm"
"SRC0009","benchmarks","Benchmark","benchmarks: blankenbach","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__blankenbach__base_case1b.prm","benchmarks\blankenbach\base_case1b.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\blankenbach\base_case1b.prm"
"SRC0010","benchmarks","Benchmark","benchmarks: blankenbach","C:\Users\mohdw\OneDrive\Desktop\geo\F1\source_prm_dataset\all_files\benchmarks__blankenbach__base_case1c.prm","benchmarks\blankenbach\base_case1c.prm","C:\Users\mohdw\OneDrive\Desktop\geo\fuck\Intro-to-llm-ASPECT\aspect\benchmarks\blankenbach\base_case1c.prm"
